constant_name,problem,metric,direction,default_rank,best_level,rank_min,rank_max,rank_range,a1_a5_formal_experiment_source_snapshot_sha256,a1_a5_postprocessing_source_snapshot_sha256,e3_formal_experiment_source_snapshot_sha256,global_postprocessing_source_snapshot_sha256
stag_ratio,ZDT1,gd,lower,1,default,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT1,hv,higher,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT1,igd,lower,3,low,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT1,igd_plus,lower,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT1,spread,lower,1,default,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT1,time_s,lower,1,default,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,gd,lower,3,low,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,hv,higher,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,igd,lower,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,igd_plus,lower,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,spread,lower,2,high,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
stag_ratio,ZDT3,time_s,lower,2,low,1,3,2,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,ea87b60277ba4152b4eee6da461042232cf02a9b494bfc17639dee0ddff760b6,fea6fd4c3a2686c3c7e5163cc20db0b56f5d2c01cb419c45ad763398553c6b6f,a5ae0207e9ab3cb74b04028cf7438a3f0869e6f5aa8648504717ddc3211af765
